character_id,friend_id
00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000000000070
00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000000000163
00000000-0000-0000-0000-000000000001,00000000-0000-0000-0000-000000000185
00000000-0000-0000-0000-000000000002,00000000-0000-0000-0000-000000000052
00000000-0000-0000-0000-000000000002,00000000-0000-0000-0000-000000000180
00000000-0000-0000-0000-000000000003,00000000-0000-0000-0000-000000000179
00000000-0000-0000-0000-000000000003,00000000-0000-0000-0000-000000000180
00000000-0000-0000-0000-000000000004,00000000-0000-0000-0000-000000000003
00000000-0000-0000-0000-000000000004,00000000-0000-0000-0000-000000000093
00000000-0000-0000-0000-000000000004,00000000-0000-0000-0000-000000000015
00000000-0000-0000-0000-000000000005,00000000-0000-0000-0000-000000000093
00000000-0000-0000-0000-000000000006,00000000-0000-0000-0000-000000000067
00000000-0000-0000-0000-000000000006,00000000-0000-0000-0000-000000000185
00000000-0000-0000-0000-000000000006,00000000-0000-0000-0000-000000000213
00000000-0000-0000-0000-000000000007,00000000-0000-0000-0000-000000000059
00000000-0000-0000-0000-000000000007,00000000-0000-0000-0000-000000000008
00000000-0000-0000-0000-000000000007,00000000-0000-0000-0000-000000000121
00000000-0000-0000-0000-000000000007,00000000-0000-0000-0000-000000000179
00000000-0000-0000-0000-000000000008,00000000-0000-0000-0000-000000000007
00000000-0000-0000-0000-000000000008,00000000-0000-0000-0000-000000000179
00000000-0000-0000-0000-000000000008,00000000-0000-0000-0000-000000000180
00000000-0000-0000-0000-000000000008,00000000-0000-0000-0000-000000000213
00000000-0000-0000-0000-000000000010,00000000-0000-0000-0000-000000000102
00000000-0000-0000-0000-000000000013,00000000-0000-0000-0000-000000000070
00000000-0000-0000-0000-000000000013,00000000-0000-0000-0000-000000000163
00000000-0000-0000-0000-000000000013,00000000-0000-0000-0000-000000000185
00000000-0000-0000-0000-000000000014,00000000-0000-0000-0000-000000000185
00000000-0000-0000-0000-000000000014,00000000-0000-0000-0000-000000000213
00000000-0000-0000-0000-000000000014,00000000-0000-0000-0000-000000000230
00000000-0000-0000-0000-000000000015,00000000-0000-0000-0000-000000000179
00000000-0000-0000-0000-000000000015,00000000-0000-0000-0000-000000000180
00000000-0000-0000-0000-000000000016,00000000-0000-0000-0000-000000000008
00000000-0000-0000-0000-000000000017,00000000-0000-0000-0000-000000000003
00000000-0000-0000-0000-000000000017,00000000-0000-0000-0000-000000000015
00000000-0000-0000-0000-000000000017,00000000-0000-0000-0000-000000000180
00000000-0000-0000-0000-000000000018,00000000-0000-0000-0000-000000000093
00000000-0000-0000-0000-000000000018,00000000-0000-0000-0000-000000000180
00000000-0000-0000-0000-000000000019,00000000-0000-0000-0000-000000000093
00000000-0000-0000-0000-000000000022,00000000-0000-0000-0000-000000000075
00000000-0000-0000-0000-000000000024,00000000-0000-0000-0000-000000000179
00000000-0000-0000-0000-000000000026,00000000-0000-0000-0000-000000000142
00000000-0000-0000-0000-000000000026,00000000-0000-0000-0000-000000000213
00000000-0000-0000-0000-000000000029,00000000-0000-0000-0000-000000000059
00000000-0000-0000-0000-000000000029,00000000-0000-0000-0000-000000000213
00000000-0000-0000-0000-000000000031,00000000-0000-0000-0000-000000000008
00000000-0000-0000-0000-000000000031,00000000-0000-0000-0000-000000000180
00000000-0000-0000-0000-000000000032,00000000-0000-0000-0000-000000000008
00000000-0000-0000-0000-000000000034,00000000-0000-0000-0000-000000000179
00000000-0000-0000-0000-000000000035,00000000-0000-0000-0000-000000000093
00000000-0000-0000-0000-000000000035,00000000-0000-0000-0000-000000000180
00000000-0000-0000-0000-000000000038,00000000-0000-0000-0000-000000000007
00000000-0000-0000-0000-000000000041,00000000-0000-0000-0000-000000000067
00000000-0000-0000-0000-000000000041,00000000-0000-0000-0000-000000000178
00000000-0000-0000-0000-000000000041,00000000-0000-0000-0000-000000000185
00000000-0000-0000-0000-000000000041,00000000-0000-0000-0000-000000000213
00000000-0000-0000-0000-000000000044,00000000-0000-0000-0000-000000000185
00000000-0000-0000-0000-000000000045,00000000-0000-0000-0000-000000000094
00000000-0000-0000-0000-000000000045,00000000-0000-0000-0000-000000000203
00000000-0000-0000-0000-000000000046,00000000-0000-0000-0000-000000000185
00000000-0000-0000-0000-000000000047,00000000-0000-0000-0000-000000000180
00000000-0000-0000-0000-000000000048,00000000-0000-0000-0000-000000000044
00000000-0000-0000-0000-000000000049,00000000-0000-0000-0000-000000000093
00000000-0000-0000-0000-000000000049,00000000-0000-0000-0000-000000000180
00000000-0000-0000-0000-000000000050,00000000-0000-0000-0000-000000000093
00000000-0000-0000-0000-000000000050,00000000-0000-0000-0000-000000000185
00000000-0000-0000-0000-000000000051,00000000-0000-0000-0000-000000000046
00000000-0000-0000-0000-000000000051,00000000-0000-0000-0000-000000000008
00000000-0000-0000-0000-000000000051,00000000-0000-0000-0000-000000000180
00000000-0000-0000-0000-000000000051,00000000-0000-0000-0000-000000000185
00000000-0000-0000-0000-000000000054,00000000-0000-0000-0000-000000000180
00000000-0000-0000-0000-000000000058,00000000-0000-0000-0000-000000000179
00000000-0000-0000-0000-000000000059,00000000-0000-0000-0000-000000000007
00000000-0000-0000-0000-000000000059,00000000-0000-0000-0000-000000000008
00000000-0000-0000-0000-000000000059,00000000-0000-0000-0000-000000000179
00000000-0000-0000-0000-000000000059,00000000-0000-0000-0000-000000000228
00000000-0000-0000-0000-000000000060,00000000-0000-0000-0000-000000000179
00000000-0000-0000-0000-000000000060,00000000-0000-0000-0000-000000000213
00000000-0000-0000-0000-000000000061,00000000-0000-0000-0000-000000000180
00000000-0000-0000-0000-000000000064,00000000-0000-0000-0000-000000000031
00000000-0000-0000-0000-000000000064,00000000-0000-0000-0000-000000000008
00000000-0000-0000-0000-000000000064,00000000-0000-0000-0000-000000000180
00000000-0000-0000-0000-000000000065,00000000-0000-0000-0000-000000000157
00000000-0000-0000-0000-000000000067,00000000-0000-0000-0000-000000000068
00000000-0000-0000-0000-000000000067,00000000-0000-0000-0000-000000000093
00000000-0000-0000-0000-000000000067,00000000-0000-0000-0000-000000000180
